Russian_term	English_term	Russian_sentence	English_sentence_expert
адресная доставка лекарств	targeted drug delivery	Ключевые слова: УФ, видимая, КР-спектроскопия, адресная доставка лекарств, микроконтейнеры ватерита, гризеофульвин, кинетика высвобождения.	Keywords: UV-Vis spectroscopy, Raman spectroscopy, targeted drug delivery, vaterite carriers, griseofulvin, release kinetics
алгоритм уменьшения ошибки	error reduction algorithm	АЛГОРИТМ УМЕНЬШЕНИЯ ОШИБКИ	ERROR REDUCTION ALGORITHM
аналоговая обработка информации	analog data processing	Аналоговая обработка информации высокоэффективна для обработки неструктурированных сенсорных данных, таких как изображение, видео, звук, движение и т.д.	Analog data processing is efficient for processing unstructured sensor data (e.g., image, video, sound, motion, etc.).
без потери общности	without loss of generality	Без потери общности рассмотрения можно учесть влияние магнитного поля на дисперсию спиновых волн: .	Without loss of generality, we can take into account the effect of magnetic field on the dispersion of spin waves: .
более сложным образом	in a more complex way	В случае экранирования по Дебаю длина экранирования зависит от Т более сложным образом (а именно Lэкр ~ Т/ni) [9], что создает возможность конкуренции положительности первого слагаемого в (9) со вторым (всегда отрицательным), создавая ситуации с , не соответствующие режимам РС.	In the case of Debye screening, the screening length depends on T in a more complex way (specifically, as Lscr ~ T/ni) [9], which provides the possibility of competition between positivity of the first term in (9) with the second term (always negative), making situations with , which do not correspond to RS modes.
более чем на порядок	by more than an order of magnitude	Интенсивность фундаментальной моды 1332 см–1 в спектрах КР микроалмазов более чем на порядок превышает интенсивность спектров КР неорганических порошков, зарегистрированных при аналогичных условиях.	The intensity of the 1332-cm–1 fundamental mode in the microdiamond Raman spectra exceeds that of the Raman spectra of inorganic powders recorded under similar conditions by more than an order of magnitude.
в аналогичных условиях	under similar conditions	В аналогичных условиях на подложке Si с предварительно сформированным магнетронным распылением подслоем ZnO (температура подложки 300С, толщина 300 нм) наблюдается формирование сплошного слоя толщиной около 1 мкм (рис. 3б, 3в).	Under similar conditions, the formation of a continuous layer about 1 µm thick on the Si substrate with the ZnO sublayer formed previously magnetron sputtering (substrate temperature 300C, thickness 300 nm) is observed (Figs. 3b, 3c).
в ближней зоне	in the near-field zone	Показано, что для одиночного кольца магнитное поле на основной резонансной частоте сосредоточено внутри кольца и в ближней зоне, а для структур, состоящих из двух и более колец, магнитное поле регистрируется и в дальней зоне.	It is shown that the magnetic field at the fundamental resonance frequency for a single ring is concentrated inside the ring and in the near-field zone, whereas for structures consisting of two or more rings the magnetic field is also registered in the far-field zone.
в виде суперпозиции	in the form of a superposition	Для этого спектр k() представляется в виде суперпозиции полос гауссовой формы.	To this end, the spectrum k(λ) is represented in the form of a superposition of Gaussian bands.
в дальней зоне	in the far-field zone	Давление в среде принималось равным 230 мбар, область наблюдения гармоник (детектор) располагалась на расстоянии 150 см от среды (в дальней зоне).	The pressure in the medium was assumed to be 230 mbar, and the harmonic observation region (detector) was located at a distance of 150 cm from the medium (in the far-field zone).
в диапазоне длин волн	in the wavelength range	Спектры пропускания кристаллов регистрировали с помощью спектрофотометра Cary 5000 (Agilent Technologies) и ИК-фурье-спектрометра Nicolet Nexus 5700 (Thermo Scientific) в диапазоне длин волн  = 0.2–15 мкм.	Transmission spectra of the crystals were recorded using a Cary 5000 spectrophotometer (Agilent Technologies) and a Nicolet Nexus 5700 IR Fourier spectrometer (Thermo Scientific) in the wavelength range of  = 0.2–15 µm.
